actor_login,year,total_commits,ai_commits,claude_commits,copilot_commits,gpt_commits,cursor_commits,aider_commits
github-actions[bot],2024,357798,52,0,0,19,6,27
magnouvean,2024,4,3,0,0,0,3,0
Kimiblock,2024,20,1,0,0,0,1,0
yejinleee,2024,6,1,0,0,0,1,0
Demmenie,2024,3,1,0,0,0,1,0
ilhaamsoomro,2024,1,1,0,0,1,0,0
pull[bot],2024,11670,32,0,0,29,3,0
JaeHyunGround,2024,21,1,0,0,0,1,0
raphaelschrader,2024,134,2,0,0,0,2,0
beyang,2024,25,1,0,0,1,0,0
voltamage,2024,4,1,0,0,0,1,0
Felipstein,2024,3,1,0,0,0,1,0
AtlantisPleb,2024,11,2,0,0,0,2,0
BeepBot99,2024,5,1,0,0,0,1,0
OTA-Bot,2024,825,32,0,11,21,0,0
jbatistareis,2024,5,1,0,0,0,1,0
KennethManzi1,2024,15,2,0,0,2,0,0
averman,2024,2,2,0,0,2,0,0
balkshamster,2024,3,1,0,0,0,1,0
itsdatbossboi,2024,1,1,0,0,0,1,0
avranu,2024,56,34,0,0,0,0,34
VE2ZAZ,2024,3,3,0,0,0,3,0
Wittano,2024,4,1,0,0,0,1,0
Happy-clo,2024,34,1,0,0,1,0,0
BintangAdhi14,2024,9,2,0,0,0,2,0
Octoklingjs,2024,2,1,0,0,1,0,0
huuff,2024,5,4,0,0,0,4,0
allen870619,2024,15,2,0,0,2,0,0
wpv-chan,2024,2,1,0,0,1,0,0
codefrogs,2024,1,1,0,0,0,1,0
Jacudibu,2024,1,1,0,0,0,1,0
shravan20,2024,22,1,0,0,0,1,0
sanyaade-projects,2024,20,3,1,0,2,0,0
crumblingstatue,2024,6,1,0,0,0,1,0
roma-glushko,2024,14,2,0,0,2,0,0
jchaselubitz,2024,1,1,0,0,1,0,0
GalNakash-RecoLabs,2024,24,1,0,0,0,1,0
silverqx,2024,44,3,0,0,0,3,0
mohammedrakib944,2024,3,2,0,0,0,2,0
jesuscc1993,2024,2,1,0,0,0,1,0
sinkingpoint,2024,11,1,0,0,0,1,0
Vladinator,2024,2,1,0,0,0,0,1
sahil310g,2024,2,1,0,0,1,0,0
malfisya,2024,20,1,0,0,0,1,0
shotaIDE,2024,22,1,0,0,1,0,0
Nertsal,2024,26,1,0,0,0,1,0
Elarnon,2024,6,1,0,0,0,1,0
michael23e,2024,1,1,0,0,0,1,0
zoli,2024,20,1,0,0,0,1,0
sunchaowang,2024,47,2,0,0,2,0,0
github-merge-queue[bot],2024,801,3,0,0,0,3,0
jmarti856,2024,16,4,0,0,0,4,0
printfCYQ,2024,1,1,0,0,0,1,0
ali-haider-qbatch,2024,1,1,0,0,0,0,1
DABer1805,2024,1,1,0,0,0,1,0
woodsts,2024,153,1,0,0,0,1,0
EliahKagan,2024,43,2,0,0,2,0,0
7amudaa,2024,1,1,0,0,1,0,0
dependabot[bot],2024,13067,16,0,0,16,0,0
GreyChou,2024,3,1,0,0,1,0,0
JAYESHBATRA,2024,4,2,0,0,0,2,0
DanikVitek,2024,10,1,0,0,0,1,0
keyle,2024,9,1,0,0,0,1,0
MarioFiorino,2024,1,1,0,0,1,0,0
DawnBreather,2024,160,2,0,0,0,2,0
LynithDev,2024,2,1,0,0,0,1,0
heyman,2024,20,1,0,0,0,1,0
yvolk,2024,12,1,0,0,0,1,0
MusliHyseni,2024,3,1,0,0,0,1,0
MoinulIslam7,2024,4,1,0,0,1,0,0
Onkar-Dhotarkar,2024,7,1,0,0,0,1,0
ReversedK,2024,20,1,0,0,1,0,0
yutaro-sakamoto,2024,10,1,0,0,0,1,0
nifty-coder,2024,2,2,0,0,2,0,0
flolbr,2024,14,2,0,0,0,2,0
