year,tier,n_developers,total_commits,n_with_ai,ai_usage_rate,mean_commits
2019,top_1pct,1637,638224,51,0.031154551007941355,389.8741600488699
2019,top_10pct,17352,302738,60,0.003457814661134163,17.446864914707238
2019,rest,143725,279420,99,0.0006888154461645504,1.9441294138110976
2020,top_1pct,2117,776669,41,0.019367028814359942,366.8724610297591
2020,top_10pct,19061,344693,98,0.005141388174807198,18.08367871570222
2020,rest,190384,393642,133,0.0006985881166484578,2.0676212286746787
2021,top_1pct,2540,1275011,54,0.02125984251968504,501.9728346456693
2021,top_10pct,25067,475349,143,0.0057047113735189696,18.96313878804803
2021,rest,224938,466828,173,0.000769100818892317,2.0753629889125005
2022,top_1pct,2842,1521359,48,0.01688951442646024,535.3128078817734
2022,top_10pct,26421,501417,144,0.005450210060179403,18.97797206767344
2022,rest,253033,519347,204,0.0008062189516782396,2.0524872249864643
2023,top_1pct,3122,2844391,116,0.037155669442664956,911.0797565663037
2023,top_10pct,28350,565309,242,0.008536155202821869,19.940352733686066
2023,rest,279273,566943,336,0.0012031238250743896,2.03006735344985
2024,top_1pct,3438,13025457,147,0.04275741710296684,3788.67277486911
2024,top_10pct,33781,856031,398,0.011781770817915396,25.34060566590687
2024,rest,305498,620874,539,0.0017643323360545732,2.0323340905668776
