year,tier,n_developers,mean_commits,mean_repos,mean_authors_per_push,solo_rate,ai_usage_rate,commits_per_repo
2019,top_1pct,1637,389.8741600488699,3.342700061087355,4.061620599303613,0.4290624716597975,0.030543677458766034,116.63450292397661
2019,top_10pct,17352,17.446864914707238,1.7047602581834946,1.6914509698522482,0.7250205860802297,0.0034001844167819272,10.234204387951726
2019,rest,143725,1.9441294138110976,1.1021047138632805,1.03876593030672,0.9652399837652925,0.0006888154461645504,1.7640151515151514
2020,top_1pct,2117,366.8724610297591,3.613604156825697,4.1139206389372704,0.447982297660623,0.019367028814359942,101.52535947712418
2020,top_10pct,19061,18.08367871570222,1.7344315618278159,1.7279022511477038,0.7172660310306365,0.005088925030166308,10.426285541439807
2020,rest,190384,2.0676212286746787,1.1165854273468359,1.0459461754489174,0.9598699645628485,0.0006933355744180184,1.851735817104149
2021,top_1pct,2540,501.9728346456693,3.9625984251968505,4.3284400779548085,0.43538311020555986,0.02125984251968504,126.67769498261302
2021,top_10pct,25067,18.96313878804803,1.737383811385487,1.774643019072921,0.7102015743808078,0.0057047113735189696,10.914766595485752
2021,rest,224938,2.0753629889125005,1.1191394962167354,1.0461166865451603,0.9600937443502949,0.000755763810472219,1.8544274381596666
2022,top_1pct,2842,535.3128078817734,3.7800844475721322,4.30940441426915,0.4361079016566147,0.01688951442646024,141.61398119705854
2022,top_10pct,26421,18.97797206767344,1.7156807085273078,1.8406417186950241,0.7075754132612706,0.005450210060179403,11.061482461945731
2022,rest,253033,2.0524872249864643,1.1137598653140104,1.0471687487402832,0.9596286518622739,0.0008022668979935423,1.842845382480892
2023,top_1pct,3122,911.0797565663037,3.788276745675849,4.701922174152768,0.4102283550516292,0.03683536194746957,240.499788619261
2023,top_10pct,28350,19.940352733686066,1.6763668430335097,1.8924893727916574,0.6912947588122305,0.008430335097001763,11.89498158863756
2023,rest,279273,2.03006735344985,1.108123592327221,1.0454235512511825,0.9611509765235692,0.0011852201967250684,1.8319864025152761
2024,top_1pct,3438,3788.67277486911,3.479930191972077,4.2783804220276505,0.42564195105894426,0.04072134962187318,1088.7209127382146
2024,top_10pct,33781,25.34060566590687,1.660726443858974,1.9260596014221625,0.6838378763517841,0.011663361060951422,15.258747615907025
2024,rest,305498,2.0323340905668776,1.1068943168204046,1.0441654282515762,0.96257695085838,0.001747965616796182,1.8360687733991021
