year,tail_cut_pct,n_original,n_dropped,n_remaining,threshold,alpha,xmin
2019,0.0,64406,0,64406,,1.9617740996547604,25.0
2019,0.1,64406,65,64341,2116.330000000118,2.0222912635982015,17.0
2019,1.0,64406,643,63763,268.0,2.227146973057991,7.0
2019,5.0,64406,3207,61199,47.0,2.6825323992154493,8.0
2020,0.0,88765,0,88765,,1.9332496704238722,34.0
2020,0.1,88765,89,88676,2343.012000000075,1.998716545180536,29.0
2020,1.0,88765,888,87877,265.3600000000006,2.2923780318709914,8.0
2020,5.0,88765,4435,84330,43.0,2.758840875746147,8.0
2021,0.0,102867,0,102867,,2.09485891847746,5.0
2021,0.1,102867,103,102764,2874.9380000000383,2.136991556093907,6.0
2021,1.0,102867,1026,101841,306.0,2.2789753754141326,8.0
2021,5.0,102867,5045,97822,44.0,2.8263427734374993,9.0
2022,0.0,113981,0,113981,,1.8493142602605572,36.0
2022,0.1,113981,114,113867,2914.060000000056,2.1119582586332077,5.0
2022,1.0,113981,1140,112841,321.1999999999971,2.297468939067728,8.0
2022,5.0,113981,5664,108317,42.0,2.7854003906249996,8.0
2023,0.0,124041,0,124041,,1.8212815367244377,40.0
2023,0.1,124041,125,123916,3176.4800000000832,2.125285172349366,5.0
2023,1.0,124041,1241,122800,338.6000000000058,2.2905024305856463,8.0
2023,5.0,124041,6200,117841,41.0,2.71335607883787,7.0
2024,0.0,131530,0,131530,,1.6343262657048312,30.0
2024,0.1,131530,132,131398,6989.304000000469,1.9661636347615268,4.0
2024,1.0,131530,1316,130214,1287.4199999999837,2.0314748155442794,4.0
2024,5.0,131530,6572,124958,68.0,2.6574533348031286,10.0
2025,0.0,89456,0,89456,,1.8053680382006543,35.0
2025,0.1,89456,90,89366,3537.900000000256,2.1423771993354364,4.0
2025,1.0,89456,894,88562,295.0,2.3242986272126784,6.0
2025,5.0,89456,4383,85073,36.0,2.9494628906249996,8.0
