year,actor,total_commits,org_commits,n_repos,is_org
2025,scareyo,17,0,3,False
2025,jmettraux,4,0,2,False
2025,uddpmibojonegoro,180,0,2,False
2025,DylDevs,4,2,2,True
2025,HWSG1,5,0,2,False
2025,NeofetchNpc,1551,0,4,False
2025,mkarmark,7741,7741,7740,True
2025,Cybecho,28,1,3,True
2025,htynkn,146,0,6,False
2025,LucaPalminteri,4,0,2,False
2025,kinlane,6,5,3,True
2025,4kbt,29,0,2,False
2025,Pa1amar,26,0,2,False
2025,rubenvarela,60,0,2,False
2025,OpenGithubs,14,0,2,False
2025,gripped,815,0,2,False
2025,jrz233,69,0,2,False
2025,JackyZLiao,9,0,2,False
2025,rob893,15,0,11,False
2025,dpxcc,6,6,2,True
2025,Incrisz,15,0,3,False
2025,strozoid,3686,0,4,False
2025,boojack,7,0,3,False
2025,rbrock44,70,0,2,False
2025,KubaBoi,141,0,2,False
2025,BurmeseTV,9213,0,3,False
2025,tombatchelor,20,0,2,False
2025,AceChenX,232,0,2,False
2025,Sunhaha520,9,0,2,False
2025,ivybridgei,72,0,2,False
2025,slskopytko,272,0,76,False
2025,fsesonarcloud,1018,1018,2,True
2025,TomoeMami,164,0,2,False
2025,Alexey-Gorulev-kernelics,2555,2555,16,True
2025,sohanyadav,93,92,2,True
2025,Bug-Hunter-X,458,458,236,True
2025,echometerain,4,0,2,False
2025,luiscarlospando,22,16,7,True
2025,devmm12,356,0,2,False
2025,sparky06757,10,0,2,False
2025,lalitnayyar,4,0,3,False
2025,99lxnky,907,0,12,False
2025,z08r3p,13,0,13,False
2025,ArchaiVR,5,0,2,False
2025,supervpnops,872,0,2,False
2025,chanwutk,36,1,3,True
2025,Frfor17,6,0,4,False
2025,direwolf-github,7089,7089,4219,True
2025,EchoStretch,9,0,3,False
2025,SSlam1234,1192,0,2,False
2025,Devcon324,35,0,2,False
2025,TheUltimateAbsol,88,0,2,False
2025,absgeoviz,2043,0,3,False
2025,ZacharyWesterman,8,0,3,False
2025,mattg1981,428,0,4,False
2025,naim-kim,6,0,3,False
2025,jt-nti,516,1,2,True
2025,j4ckson185,19,0,3,False
2025,codeforIATIbot,1153,0,3,False
2025,luvumbu,3,0,2,False
2025,gr8rehanna,78,0,2,False
2025,aref2232,173,0,2,False
2025,brandonerose,4,0,2,False
2025,kreuzert,66,0,3,False
2025,yd072,18,0,3,False
2025,MendQa,25,25,12,True
2025,rhijmans,20,10,8,True
2025,LJPc-automation,79,43,2,True
2025,ym,32,0,2,False
2025,rtyler,11,5,3,True
2025,gknowles,4,0,2,False
2025,flancian,817,815,3,True
2025,fish2018,38,0,3,False
2025,jtdaugherty,17,0,2,False
2025,phunggiahuy159,10,0,2,False
2025,puredanger,5,0,3,False
2025,robocdnjs,5861,0,2,False
2025,mrjones-plip,19,0,2,False
2025,rjdbcm,24,24,6,True
2025,usama2762,35,0,2,False
2025,taskula,20,20,2,True
2025,Pawdroid,33,0,2,False
2025,codegen-team,4,4,2,True
2025,joelparkerhenderson,18,6,7,True
2025,jauderho,289,0,24,False
2025,rainboyan,3,1,3,True
2025,yiguolei,79,14,3,True
2025,aws-aemilia-dub,851,851,26,True
2025,rxm7706,56,54,18,True
2025,7c,74,0,3,False
2025,DrMineword,1103,0,3,False
2025,eero-lehtinen,4,4,2,True
2025,elidvenega,6,0,2,False
2025,lucca-schramm,180,180,2,True
2025,Glitch31415,541,0,2,False
2025,xtrm-en,53,0,4,False
2025,rfc391,28,0,3,False
2025,aws-aemilia-pdx,1760,1760,51,True
2025,GamerBhai02,5,0,3,False
2025,yogeshvar,892,0,2,False
2025,AlexLoLar,12,0,2,False
2025,badroniaimi,25,0,2,False
2025,Mufacoderz,6,0,3,False
2025,ctessum,1397,0,10,False
2025,lajouiZakariae,5,0,2,False
2025,esaaprillia,27,0,3,False
2025,Sonicadvance1,9,0,2,False
2025,vfarcic,22,0,6,False
2025,ymyuuu,225,0,2,False
2025,huchenlei,19,18,3,True
2025,aws-aemilia-iad,1299,1299,39,True
2025,stianfro,18,0,3,False
2025,doomlab,29,2,2,True
2025,tekiplanet,7,0,3,False
2025,Lucasv-github,4,4,3,True
2025,claude89757,741,0,2,False
2025,ArthurViniciusL,6,0,2,False
2025,bruyen72,9,0,2,False
2025,DrVrej,37,5,13,True
2025,0xB10C,113,113,4,True
2025,hoangsvit,162,94,4,True
2025,yucian1997,8,0,2,False
2025,mouad4949,8,6,2,True
2025,domi00248,297,0,2,False
2025,KrstlSkll69,25,0,5,False
2025,zomeru,2204,0,2,False
2025,swegener,5501,0,4,False
2025,jonhadfield,30,0,8,False
2025,saikatbera0,10,0,2,False
2025,HAFDIAHMED,139,0,2,False
2025,scarrrr316,908,0,2,False
2025,markusbenjamin,136,0,2,False
2025,TattiS,6,0,2,False
2025,tomaarsen,33,1,3,True
2025,bot-porthole-ascend-cinnamon,684,684,6,True
2025,ChrisFloresM,5,0,2,False
2025,himudigonda,18,0,3,False
2025,KabriAcid,10,0,3,False
2025,hy5528,18,0,4,False
2025,conan747,25,25,3,True
2025,axionbuster,13,0,2,False
2025,ronnywang,15,0,2,False
2025,njjetha,1030,1,6,True
2025,sandy98,8,0,3,False
2025,BeatACVR,8,0,2,False
2025,gambiarras,58,0,2,False
2025,abh,21,0,3,False
2025,andrew-grechkin,5,5,2,True
2025,bi-machine,2410,9,2,True
2025,wegank,1628,165,4,True
2025,SherfeyInv,17,3,8,True
2025,aws-aemilia-syd,853,853,26,True
2025,WaffoKom,5,0,2,False
2025,BlockNG,556,556,2,True
2025,EduardoProfe666,117,0,3,False
2025,grief8,128,0,2,False
2025,cain19811028,35,0,2,False
2025,yacinos24,4,0,2,False
2025,petertodd,1064,0,2,False
2025,lorengordon,64,0,6,False
2025,kdpham-01002,34,34,2,True
2025,ChrisPritchard,3,0,2,False
2025,lurovi,3,0,2,False
2025,FabianaCampanari,69,65,9,True
2025,SattikBhaumik,7,0,2,False
2025,fang-yj,162,0,3,False
2025,adnjoo,5,0,4,False
2025,jobcher,30,0,2,False
2025,horsicq,466,0,41,False
2025,Nusab19,364,355,4,True
2025,NekroDarkmoon,5,0,2,False
2025,DockterTeagle,20,0,3,False
2025,poladbachs,13,0,2,False
2025,Cyderman,4,0,2,False
2025,HPDigital,3,0,2,False
2025,gstephan30,11,0,3,False
2025,AlaraBread,139,139,2,True
2025,Ridd1kulusC0d3r,3,0,2,False
2025,oberrich,6,0,2,False
2025,gavinhsmith,5,0,2,False
2025,rawmean,311,0,3,False
2025,eko5624,24,0,4,False
2025,RaduBerinde,5,0,2,False
2025,Rainnny7,9,0,2,False
2025,BusArmyDude,88,60,5,True
2025,Constrat,58,0,2,False
2025,kcrca,6,0,2,False
2025,avik-pal,44,0,4,False
2025,hapheus,21,0,2,False
2025,biosimulations-daemon,23,0,2,False
2025,kauabarros-24,3,3,2,True
2025,alexTvirus,1815,0,2,False
2025,Fro116,72,0,3,False
2025,dragonhunt02,20,0,2,False
2025,TheLeonX,8,0,3,False
2025,jscheffl,35,7,3,True
2025,MohamedElashri,22,0,2,False
2025,RaglemL,3633,0,2,False
2025,Insprill,61,0,3,False
2025,SG2019,46,0,2,False
2025,aws-aemilia-icn,848,848,25,True
2025,cedric-chimot,5,5,4,True
2025,Thor112274,3,0,2,False
2025,juh9870,7,0,2,False
2025,Kingloo,7,0,7,False
2025,helmut-hoffer-von-ankershoffen,31,26,6,True
2025,YarosMallorca,32,0,2,False
2025,steph-xue,21,0,3,False
2025,enex,23,0,2,False
2025,KadirYazadzhi,6,0,2,False
2025,sergij14,3,0,2,False
2025,aws-aemilia-sfo,843,843,26,True
2025,eggfly,5,0,2,False
2025,MarcelKuhn,571,0,8,False
2025,dhcgn,6,0,3,False
2025,joflashtooloficial,3,0,2,False
2025,rizkyhaksono,29,0,2,False
2025,Woschj,4,0,2,False
2025,Namide,30,0,3,False
2025,Zhytou,1274,0,2,False
2025,genkin-he,334,0,2,False
2025,shahadathhs,18,0,4,False
2025,TaylorFries,4,0,2,False
2025,bil-paul,10,0,2,False
2025,NeilJustice,9,0,4,False
2025,fyqc,4,0,2,False
2025,peavers,84,0,9,False
2025,Gideon-Felt,5,5,2,True
2025,CodeMaster7000,8,4,2,True
2025,mend-p1,39,39,12,True
2025,danielraffel,202,0,2,False
2025,Simon-Cheek,4,4,2,True
2025,duzaq,930,0,3,False
2025,samczsun,349,0,2,False
2025,marek-hanzal,9,5,3,True
2025,vision011,3,0,2,False
2025,fwilhe2,3,0,3,False
2025,vintagesucks,30,0,3,False
2025,Bryan-Herrera-DEV,38,38,2,True
2025,aws-aemilia-gru,849,849,28,True
2025,Matyrobbrt,5,0,2,False
2025,AndrewHess,4,0,2,False
2025,tangtanglove,3,0,3,False
2025,StrawWagen,7,2,5,True
2025,mythgarr,4,0,2,False
2025,weblate,2101,51,218,True
2025,jxom,97,1,6,True
2025,moehreag,4,0,2,False
2025,validbeck,13,0,2,False
2025,Ometeor-Zheero-OMZ,4,4,3,True
2025,killeromg007,4,0,2,False
2025,marajadesantelmo,90,0,2,False
2025,potiuk,67,11,2,True
2025,stronnag,111,0,2,False
2025,meyit-4763,17,17,4,True
2025,LOOHP,35,30,4,True
2025,Doomtsu,10,0,2,False
2025,hausnes,27,0,2,False
2025,lilyxseo,633,0,2,False
2025,bochinchero,10,0,2,False
2025,SukiCZ,36,0,2,False
2025,pfcfai,60,0,2,False
2025,cklosowski,4,0,2,False
2025,bryanolson,85,85,2,True
2025,phatisena,7,0,2,False
2025,will-mp3,6,0,3,False
2025,josh-justjosh,65,65,2,True
2025,kawax,9,0,6,False
2025,chaos198800,51,0,51,False
2025,justinshannon,19,19,2,True
2025,andrelllb,98,98,2,True
2025,Blacksmoke16,4,4,2,True
2025,erykoff,28,0,4,False
2025,TrainerHol,56,0,3,False
2025,cjchandler,1287,0,3,False
2025,ctrl-i,523,0,2,False
2025,xtompie,11,0,3,False
2025,rpgrca,5,0,3,False
2025,la-tribu-pusher,3922,0,2,False
2025,Lastorder-DC,31,25,2,True
2025,xielbers,10,0,2,False
2025,Vexcited,26,0,4,False
2025,joshua-mo-143,6,3,2,True
2025,canstralian,13,4,2,True
2025,wangyingbo,51,0,2,False
2025,susumutomita,4,0,3,False
2025,suhailvs,3,0,2,False
2025,snowykami,179,0,2,False
2025,sherry2610,3,0,2,False
2025,aws-aemilia-bom,843,843,26,True
2025,trivoallan,242,234,10,True
2025,edreamleo,13,12,2,True
2025,MultichartsScannerDataChecker,710,0,2,False
2025,szepeviktor,13,0,4,False
2025,Joe-del306,3,3,2,True
2025,wojiushixiaobai,19,0,6,False
2025,9renpoto,54,0,3,False
2025,YashasSingh,10,0,2,False
2025,traktuner,22,0,2,False
2025,nlogozzo,59,0,4,False
2025,dewan-ahmed,100,98,5,True
2025,sprattjack,246,0,2,False
2025,nerolation,79,0,7,False
2025,jamesbrown1417,35,0,5,False
2025,bduggan,4,0,3,False
2025,DimitriTedom,3,1,3,True
2025,James-Ibersteen-Hawker,6,6,2,True
2025,NotPunchnox,11,0,2,False
2025,gabrielwonheld,3,0,3,False
2025,anischali,4,0,2,False
2025,rharish101,20,0,5,False
2025,ebrasha,101,0,4,False
2025,Zekiah-A,63,0,3,False
2025,nater1983,35,0,2,False
2025,yonaka15,3,0,2,False
2025,kadaan,14,0,2,False
2025,ponderingdemocritus,8,0,2,False
2025,Elyasb14,12,0,2,False
2025,mohamedbakry57,17,0,2,False
2025,brazilianscriptguy,28,0,2,False
2025,yknx4,61,0,2,False
2025,cam900,21,0,2,False
2025,SazumiVicky,144,0,2,False
2025,nh60211as,151,0,4,False
2025,matheusluciano99,4,0,2,False
2025,6a6ak,8,0,3,False
2025,dkocher,57,57,3,True
2025,chris-liddell,34,0,4,False
2025,luneboots,8,0,3,False
2025,Nitro4CSR,237,0,2,False
2025,Ethelt,5,0,2,False
2025,Angelos2024,29,0,2,False
2025,shwchurch2023,18,0,2,False
2025,amplify-github-test-hkg,829,829,26,True
2025,PotatoesSkill,2469,0,4,False
2025,RShnitser,5,0,3,False
2025,leandroAntunesDosSantos,6,0,4,False
2025,rotkiW285,6,0,6,False
2025,cowtowncoder,90,0,18,False
2025,laholand,18,0,2,False
2025,joshsurber,4,0,3,False
2025,aws-aemilia-nrt,854,854,26,True
2025,abikesa,204,0,7,False
2025,sinchang,18,0,2,False
2025,laciferin2024,21,0,4,False
2025,WomkaLabs,9,0,2,False
2025,Marwaa703,3,3,2,True
2025,ClassyBot,32,0,2,False
