actor,public_commits,total_commits,is_org,n_repos_2025
koushikchintuu,0,0,False,2
J-Siu,99,99,False,5
solstice23,-228,7,True,2
mj3f,-295,0,False,2
jmurgoitioesandi,0,0,False,3
AzureDoom,442,442,False,2
Contexter,21,21,True,6
ShivangiReja,11,11,False,2
DroidMystic,14,15,False,2
erewhon,303,727,False,2
DragonGodMonarchMk,0,0,False,2
leothan522,194,194,False,2
AntonKhorev,0,0,False,2
RodrigoDornelles,2,11,True,4
adolfoweloy,91,159,False,2
pedjamusic,-66,152,False,2
michalkuligowski,33,36,False,2
kvgc153,11,18,False,2
AIbySomnath,0,0,False,3
kwakyetech,2,2,False,3
herbetom,175,199,True,2
abrookins,15,389,True,3
SuzyAdel,9,9,False,2
frankm24,0,25,True,2
junsu0306,12,12,False,2
arafat22184,-504,15,False,4
rexut,84,84,False,6
Ravenwater,1005,1016,True,4
m1chaelj,-42,0,False,2
sodiki366,0,0,False,2
NATuanAN,22,22,False,2
SongshGeo,98,98,True,3
kauanmocelin,12,12,False,3
Mgazul,60,147,False,2
Ono-Sendai,176,176,False,2
jr1221,47,53,True,2
tangguhhaikal18,0,0,False,3
rifalarf,62,62,False,3
JamborJan,46,46,True,3
admdly,-204,190,False,3
7Frost7,7,7,False,2
samimcloud2020,12,12,False,2
Reliev3,73,73,False,2
la-tribu-pusher,0,0,False,2
Mirage20,125,143,False,2
wanlizhu,371,371,False,2
GrantBartlett,-516,6,False,2
aleskandro,-20,12,False,2
jkmosu,0,0,False,5
mmbbrpknsayam,0,0,False,2
panjuncai,75,75,False,3
Shayankazi,0,0,False,2
Supphanat-P,14,14,True,3
ZAINAZHAR303,41,41,False,4
christine-iyer,116,120,True,4
ShakedGolan10,-6,6,False,4
skiadas,15,40,False,2
jamesdfurtado,15,15,False,2
leehj7739,0,0,True,2
wesleyzilva,41,41,False,2
Insoft-UK,723,723,False,2
PhilipExl,0,0,False,2
hawkeyexl,210,210,True,2
kalyanikharat,8,8,False,3
Arnav020,45,45,False,2
shanggeeth,-1,0,True,4
orodreth86,0,0,False,2
googs1025,-9,35,True,4
serpro69,-88,313,False,2
agustinmoretti,0,0,False,2
dtfiedler,-408,136,True,4
ErGauravRajput,11,11,False,2
ysdzm,21,21,False,4
3LiRad,0,0,False,2
jaivikrathod,0,0,False,2
rabee361,75,76,False,2
mailund,0,0,False,2
kaankaltakkiran,-134,0,False,3
MOUHAMEDBOUZAYAN,191,191,False,3
kyxent-Immortal-Dev,0,0,True,2
wgwjh05169,9,9,True,2
BeamNawapat,-722,0,False,2
bq-tarun-63,-235,10,True,2
Rupesh-yy,1,1,False,2
patagonaa,22,22,False,2
agg23,-110,32,True,2
akmalnawabi,24,24,False,2
Kritik69,0,0,False,2
Tanuj26Rajput,14,22,False,3
ChenLin-Wang,120,137,True,5
suzukart,0,0,False,2
giasinguyen,23,140,False,2
yehonatan5785,0,0,True,8
RakeshsarmaKarra,128,128,False,2
