actor,public_commits,total_commits,is_org,n_repos_2025
J-Siu,99,99,False,5
AzureDoom,442,442,False,2
Contexter,21,21,True,6
ShivangiReja,11,11,False,2
DroidMystic,14,15,False,2
erewhon,303,727,False,2
leothan522,194,194,False,2
adolfoweloy,91,159,False,2
michalkuligowski,33,36,False,2
kvgc153,11,18,False,2
herbetom,175,199,True,2
abrookins,15,389,True,3
SuzyAdel,9,9,False,2
junsu0306,12,12,False,2
rexut,84,84,False,6
Ravenwater,1005,1016,True,4
NATuanAN,22,22,False,2
SongshGeo,98,98,True,3
kauanmocelin,12,12,False,3
Mgazul,60,147,False,2
Ono-Sendai,176,176,False,2
jr1221,47,53,True,2
rifalarf,62,62,False,3
JamborJan,46,46,True,3
7Frost7,7,7,False,2
samimcloud2020,12,12,False,2
Reliev3,73,73,False,2
Mirage20,125,143,False,2
wanlizhu,371,371,False,2
panjuncai,75,75,False,3
Supphanat-P,14,14,True,3
ZAINAZHAR303,41,41,False,4
christine-iyer,116,120,True,4
skiadas,15,40,False,2
jamesdfurtado,15,15,False,2
wesleyzilva,41,41,False,2
Insoft-UK,723,723,False,2
hawkeyexl,210,210,True,2
kalyanikharat,8,8,False,3
Arnav020,45,45,False,2
ErGauravRajput,11,11,False,2
ysdzm,21,21,False,4
rabee361,75,76,False,2
MOUHAMEDBOUZAYAN,191,191,False,3
wgwjh05169,9,9,True,2
patagonaa,22,22,False,2
akmalnawabi,24,24,False,2
Tanuj26Rajput,14,22,False,3
ChenLin-Wang,120,137,True,5
giasinguyen,23,140,False,2
RakeshsarmaKarra,128,128,False,2
TuyetMaySeta,7,7,False,2
leone-nyaga,30,30,True,2
egonw,436,461,False,4
mudroljub,590,592,True,2
Jam516,33,33,False,2
DRgreenT,6,9,False,2
xiaoqiangclub,13,13,False,2
dmikalova,440,662,False,2
trendex2030,91,91,False,2
jdgafx,354,354,False,2
abdul-aual,17,17,True,3
AaronFriel,29,31,False,2
utkarshsingx,229,313,False,2
magland,554,554,False,6
Muennighoff,19,19,True,2
lacithelaci,52,52,False,3
MasuRii,2149,3058,False,2
deadprogram,235,235,False,3
mbuckton,34,34,True,2
AndreyMakarov-lol,6,6,True,2
vinodh1988,132,132,False,3
Maleek6526,18,18,False,2
ellepannitto,75,99,False,2
ptitvn,68,68,False,2
Bugaddr,73,74,False,2
nfahlgren,39,51,True,2
ValKmjolnir,134,134,False,2
diegograssino,4,13,False,2
YamilaTimmer,52,52,False,2
mattgebert,34,34,False,2
yufree,44,44,False,2
armadne,111,111,False,2
thisaldil,25,25,False,2
timwlee,205,238,False,2
UltraPuPower,20,20,True,2
wasim-1432,422,422,True,3
siaumau,64,64,False,3
elintendo,9,25,True,2
Aleksashka11,151,151,True,2
jeff-hykin,415,603,True,4
donn,19,19,True,3
aifedorov,6,6,False,2
vsgoulart,451,456,False,2
Luscalab,1129,1129,False,2
LGOS-Studio,22,22,True,2
8LWXpg,120,120,False,3
PHDevTechSolutions,448,448,False,3
Wkkyy00,218,218,False,2
njansson,112,112,False,2
maciejmikosik,16,16,False,2
Zergatul,23,23,False,2
jungh150,46,46,True,2
zhenghaoz,79,79,True,2
gantian127,54,54,False,5
Peter-Mihalik,13,13,True,2
Elwinmage,425,425,False,2
ngruenwald,268,268,False,2
cjeker,50,50,True,2
id3v1669,27,27,False,2
Priyanshi764,15,15,False,2
gin31259461,119,119,False,2
Pendarium,41,41,False,2
Frozennfishh,26,26,True,2
VicLu96,8,8,False,2
Ambicadevare,19,19,False,3
Ashab-al,117,117,False,2
dnnsmnstrr,317,359,False,2
GLA7479,552,552,False,2
wandersonxs,3,3,False,2
dkorpel,79,79,False,2
plp127,50,50,True,2
clafollett,11,11,False,3
erictang000,8,61,False,2
Stabledog,39,39,False,2
yingzhuo,24,24,False,5
lmcinnes,236,238,True,2
Naveed69,24,24,False,2
dudwntjs,109,109,True,4
mynamethiris,8,8,False,3
manodhiambo,726,873,False,2
kirayomato,7,24,False,2
deckerst,99,99,False,2
pdxlocations,327,379,False,2
Hizkia-wa,5,5,False,2
krmrn42,19,19,True,2
raphamorim,72,95,False,2
xavierxeon,342,342,True,4
vizahat36,71,71,False,2
Aquerr,69,95,False,2
dstein64,47,47,False,3
unkn0wn-root,304,304,True,2
irahorecka,461,608,False,2
fpoisson2,324,324,False,3
ArushiTariyal,37,37,False,2
hwnooy,110,152,False,2
doyuli,166,169,False,2
achen2401,17,17,False,2
santimm44,5,5,False,3
emanuelefavero,288,288,False,3
TheHumblePotato,55,55,False,2
nqdo26,4,4,False,3
growdigital,12,12,False,2
Tsu-gu,85,85,False,2
Bricklou,58,58,False,2
urimeee,5,5,True,2
xuqssq,2429,2429,False,3
bjornna,25,25,False,2
Nothing-avil,89,89,True,2
svaningelgem,242,242,False,6
marchof,69,69,False,2
EliranSun,150,150,False,3
Emmanuel10701,1484,1484,False,2
AdityaK0,11,11,False,3
shrehanrajsingh,35,103,False,2
zwik,210,210,False,4
postyizhan,4,4,True,3
Quycute,3,3,False,4
Novo0007,6,7,False,2
Wasii25,18,18,False,2
juanbarearojo,3,25,False,2
bonison01,44,44,False,2
MD-Tanvir-Uddin-Alif,62,62,True,4
tuan-hda,121,121,True,2
mvorisek,28,28,False,4
eswaribala,100,100,False,3
Alchemist8931,623,623,False,2
Pallavi-Madhu,8,8,True,4
MingcongBai,1644,1644,True,2
prestodb-ci,4,4,True,2
hsluoyz,352,404,False,3
techroy23,389,409,False,2
usman-97,62,62,False,3
Asipitatheanalyst,4,4,False,3
izeye,130,213,False,5
teuben,96,479,False,2
Lucasgyn94,9,9,False,2
AxcelBlaze003,27,27,False,3
metrovian,188,188,False,4
geir-waagboe,79,79,False,2
tommyettinger,903,903,False,4
CodingManoj,4,4,True,2
JordanRoberts-2000,6,6,True,2
mnraza-dev,21,48,True,2
bofh69,106,106,False,2
GiorgioKalmund,56,56,False,2
Ailenmann760,3,3,False,2
Artem336600,18,18,False,2
palemieux,34,107,False,2
okonomi,7,7,False,3
a0977050093,7,7,False,2
davideolgiati,13,15,False,3
ThePansmith,12,12,False,2
NabeKz,67,69,False,2
DocilElm,410,423,False,3
Ahtisham-1214,50,50,True,2
catacisneros,116,116,False,2
Gh0stbasta,166,234,False,2
Julian-codee,28,28,True,2
