group,period,n_developers,beta,beta_se,r_squared,p_value,residual_heteroscedasticity_r,residual_hetero_p,interpretation
All Developers,2019-2020,10388,0.3766526619950312,0.011419520908529131,0.09481466309810618,5.530443528057094e-227,0.20853099806950406,2.0213512899378937e-102,Sublinear (β=0.38)
All Developers,2020-2021,13728,0.3987363523668274,0.010101007066158092,0.10195244674676392,0.0,0.2590804412986094,2.1138993432755402e-209,Sublinear (β=0.40)
All Developers,2021-2022,16432,0.3921219706842798,0.00900366121105397,0.10349496728382579,0.0,0.23897560879706406,4.122651649039161e-212,Sublinear (β=0.39)
All Developers,2022-2023,17343,0.4446029046539582,0.008815616317469705,0.12791562529554018,0.0,0.26649485063047357,9.06914410519842e-280,Sublinear (β=0.44)
All Developers,2023-2024,18695,0.4732379457401521,0.00994172900365924,0.10811037758981801,0.0,0.18993095060466592,2.2503913479082457e-151,Sublinear (β=0.47)
Org Developers,2019-2020,2402,0.3156160023558177,0.023117970847865234,0.07206508145749445,6.333594582504564e-41,0.2157962716108799,1.0514076698699471e-26,Sublinear (β=0.32)
Org Developers,2020-2021,3290,0.3251267553615997,0.020563360651222502,0.07065794715410174,2.4992547135971612e-54,0.18482385373267815,1.1409377964867338e-26,Sublinear (β=0.33)
Org Developers,2021-2022,3974,0.3299270646085195,0.018208459241330584,0.07634653210553007,1.4477867884491653e-70,0.21698763055584888,1.4675588353218463e-43,Sublinear (β=0.33)
Org Developers,2022-2023,4167,0.3930393467703029,0.018031667879878546,0.1023932575322508,7.724636085600763e-100,0.2212150803451202,2.3279446181512263e-47,Sublinear (β=0.39)
Org Developers,2023-2024,4296,0.44702238233144365,0.02158819616781027,0.0907880942466042,7.235398872618296e-91,0.17876961117347367,3.5032832390805587e-32,Sublinear (β=0.45)
Personal Developers,2019-2020,7986,0.3860447409897127,0.013121123408251565,0.09781558017789865,9.863720369616275e-181,0.20548295834263394,6.98022554162525e-77,Sublinear (β=0.39)
Personal Developers,2020-2021,10438,0.41513433083258816,0.011604417251116033,0.10923452710898549,1.7315474528622075e-264,0.2909392458027125,1.0026048008125533e-202,Sublinear (β=0.42)
Personal Developers,2021-2022,12458,0.4070753136137025,0.01036183679745958,0.11024702661360813,0.0,0.2484151235219431,1.4917845052684012e-174,Sublinear (β=0.41)
Personal Developers,2022-2023,13176,0.45629153394177485,0.010104149598145077,0.1340482962766387,0.0,0.28626448323723885,6.219124408175844e-247,Sublinear (β=0.46)
Personal Developers,2023-2024,14399,0.472144602864538,0.011147937169336002,0.11078836802662798,0.0,0.19346003443807028,1.9206380193459398e-121,Sublinear (β=0.47)
