group,period,n_prev_top1,n_curr_top1,n_persistent,n_churned_out,n_new_entrants,persistence_rate,new_entrant_rate,persistent_commit_share,new_entrant_commit_share,margin_dominance
All Developers,2019-2020,1637,2117,139,1498,1978,0.08491142333536958,0.9343410486537553,0.09397697088463683,0.9060230291153631,Extensive (new entrants)
All Developers,2020-2021,2117,2540,188,1929,2352,0.08880491261218705,0.925984251968504,0.20678645125414605,0.7932135487458539,Extensive (new entrants)
All Developers,2021-2022,2540,2842,224,2316,2618,0.08818897637795275,0.9211822660098522,0.10111880233396588,0.8988811976660341,Extensive (new entrants)
All Developers,2022-2023,2842,3122,247,2595,2875,0.08691062631949331,0.9208840486867392,0.11729716484126128,0.8827028351587387,Extensive (new entrants)
All Developers,2023-2024,3122,3438,231,2891,3207,0.07399103139013453,0.9328097731239092,0.08804512578714128,0.9119548742128587,Extensive (new entrants)
Org Developers,2019-2020,92,134,6,86,128,0.06521739130434782,0.9552238805970149,0.059086030616279726,0.9409139693837203,Extensive (new entrants)
Org Developers,2020-2021,134,165,15,119,150,0.11194029850746269,0.9090909090909091,0.12639373243561292,0.8736062675643871,Extensive (new entrants)
Org Developers,2021-2022,165,185,23,142,162,0.1393939393939394,0.8756756756756757,0.17470521401786082,0.8252947859821391,Extensive (new entrants)
Org Developers,2022-2023,185,202,23,162,179,0.12432432432432433,0.8861386138613861,0.19712980384121012,0.8028701961587899,Extensive (new entrants)
Org Developers,2023-2024,202,210,13,189,197,0.06435643564356436,0.9380952380952381,0.1832414053247024,0.8167585946752977,Extensive (new entrants)
Personal Developers,2019-2020,1536,1992,111,1425,1881,0.072265625,0.9442771084337349,0.08793697308161434,0.9120630269183857,Extensive (new entrants)
Personal Developers,2020-2021,1992,2383,155,1837,2228,0.07781124497991967,0.9349559378934117,0.21843332948245078,0.7815666705175492,Extensive (new entrants)
Personal Developers,2021-2022,2383,2668,183,2200,2485,0.07679395719681074,0.9314092953523239,0.08639571012651846,0.9136042898734815,Extensive (new entrants)
Personal Developers,2022-2023,2668,2922,209,2459,2713,0.07833583208395802,0.9284736481861738,0.09828374715971062,0.9017162528402893,Extensive (new entrants)
Personal Developers,2023-2024,2922,3227,204,2718,3023,0.06981519507186858,0.9367833901456462,0.06134369423315634,0.9386563057668437,Extensive (new entrants)
