group,year,n_active,density_ratio_3_5,density_ratio_10_20,barrier_evidence,interpretation
All Developers,2019,54067,0.6556773377445927,2.094896428054417,0.3129879496493947,No barrier evidence
All Developers,2020,71771,0.6553872466583769,2.1057965992607857,0.31123008123787577,No barrier evidence
All Developers,2021,87726,0.6332071496764277,2.210753773480186,0.28642138137329876,No barrier evidence
All Developers,2022,95166,0.6383435944286429,2.1738407618517157,0.29364781709442717,No barrier evidence
All Developers,2023,102658,0.6452433769331959,2.1327618711354774,0.30253887490480585,No barrier evidence
All Developers,2024,115476,0.6309179879539115,2.1561929994183,0.2926073816787835,No barrier evidence
Org Developers,2019,5314,0.48608836741259576,2.65248865233532,0.18325747293381667,No barrier evidence
Org Developers,2020,7510,0.48598546868709663,2.787642285388271,0.17433566395317007,No barrier evidence
Org Developers,2021,9660,0.4822782512040058,2.8555471084090343,0.16889171598107752,No barrier evidence
Org Developers,2022,10452,0.5001897754719323,2.798214020591524,0.1787532232313651,No barrier evidence
Org Developers,2023,11466,0.5063310126757187,2.766713643249727,0.18300810201701695,No barrier evidence
Org Developers,2024,12107,0.49206009403102674,2.728930704165181,0.18031241807642565,No barrier evidence
Personal Developers,2019,48753,0.6741622676636589,2.034119756263374,0.33142702910573846,No barrier evidence
Personal Developers,2020,64261,0.6751847498494931,2.0261112363996814,0.33324169854033747,No barrier evidence
Personal Developers,2021,78066,0.6518833103512874,2.130966111560622,0.30590974995556264,No barrier evidence
Personal Developers,2022,84714,0.6553889908889154,2.096805687361685,0.3125654393438628,No barrier evidence
Personal Developers,2023,91192,0.6627094832646311,2.0530521266506323,0.32279233179811234,No barrier evidence
Personal Developers,2024,103369,0.6471815923394079,2.0891116172691984,0.30978794382723185,No barrier evidence
