group,period,n_top1_current,n_new_entrants,n_genuinely_new_accounts,n_increased_activity,n_near_top_before,pct_genuinely_new,pct_increased_activity,pct_near_top_before,median_prev_commits_of_entrants,median_curr_commits_of_entrants,median_growth_ratio,dominant_source
All Developers,2019-2020,2117,1978,1495,361,122,75.5813953488372,18.25075834175935,6.167846309403438,5.0,167.0,40.5,New accounts
All Developers,2020-2021,2540,2352,1776,401,175,75.51020408163265,17.049319727891156,7.440476190476191,5.0,177.5,45.5,New accounts
All Developers,2021-2022,2842,2618,1943,493,182,74.21695951107716,18.83116883116883,6.951871657754011,4.0,207.0,53.666666666666664,New accounts
All Developers,2022-2023,3122,2875,2238,457,180,77.84347826086957,15.895652173913044,6.260869565217392,4.0,228.0,63.708333333333336,New accounts
All Developers,2023-2024,3438,3207,2307,680,220,71.93638914873713,21.20361708762083,6.859993763642033,4.0,1084.0,276.0,New accounts
Org Developers,2019-2020,134,128,74,39,15,57.8125,30.46875,11.71875,9.5,581.5,73.8125,New accounts
Org Developers,2020-2021,165,150,83,56,11,55.333333333333336,37.333333333333336,7.333333333333333,8.0,682.0,97.25,New accounts
Org Developers,2021-2022,185,162,84,65,13,51.85185185185185,40.123456790123456,8.024691358024691,9.0,751.0,80.35164835164835,New accounts
Org Developers,2022-2023,202,179,98,63,18,54.7486033519553,35.19553072625698,10.05586592178771,8.0,575.0,80.5,New accounts
Org Developers,2023-2024,210,197,79,96,22,40.10152284263959,48.73096446700508,11.16751269035533,6.0,8137.0,1135.25,Activity increases
Personal Developers,2019-2020,1992,1881,1498,295,88,79.63849016480596,15.683147262094629,4.678362573099415,4.0,143.0,43.65217391304348,New accounts
Personal Developers,2020-2021,2383,2228,1782,312,134,79.98204667863554,14.003590664272892,6.014362657091562,4.0,156.5,42.93333333333334,New accounts
Personal Developers,2021-2022,2668,2485,1941,398,146,78.10865191146881,16.01609657947686,5.875251509054326,4.0,185.0,52.49259259259259,New accounts
Personal Developers,2022-2023,2922,2713,2193,372,148,80.83302617029119,13.711758201253224,5.455215628455584,4.0,190.5,57.666666666666664,New accounts
Personal Developers,2023-2024,3227,3023,2345,532,146,77.57194839563347,17.598412173337742,4.829639431028779,3.0,807.0,248.5,New accounts
