group,year,n,alpha,xmin,R,p_value,best_fit
Org Developers,2019,9824,2.036574749219275,6.0,3.0450785728618635,0.002326195291677654,Power law
Org Developers,2020,14502,2.0628882250478746,7.0,1.9811926258292825,0.04756967588449824,Power law
Org Developers,2021,18253,2.0753220275187356,7.0,3.312428735662775,0.0009248968637712197,Power law
Org Developers,2022,20764,1.9113842626396056,37.0,-0.9657203260097563,0.3341841457459026,Log-normal
Org Developers,2023,23411,2.055321149676674,6.0,-0.9518377983320079,0.3411792492282075,Log-normal
Org Developers,2024,25490,2.0365934722731582,5.0,6.827136408297608,8.662632063062122e-12,Power law
Personal-Only,2019,53945,1.9909989438587796,25.0,-1.157438108987542,0.24709341178841437,Log-normal
Personal-Only,2020,73483,1.9459125952896605,33.0,-1.3599256330591334,0.1738534584715189,Log-normal
Personal-Only,2021,83614,1.8596037302761945,39.0,-2.149262861581013,0.03161356871598642,Log-normal
Personal-Only,2022,92200,1.8261076442026896,40.0,-2.7449859425651035,0.006051348975768103,Log-normal
Personal-Only,2023,99585,1.816573830513791,38.0,-2.677450152028344,0.007418489045075689,Log-normal
Personal-Only,2024,102204,1.7788952163346972,45.0,-3.1128239664889663,0.001853065097029071,Log-normal
